customernumber,date,salutation,title,domain,datecreated,newsletter,model,paymenttype,deliverytype,invoicepostcode,delivpostcode,voucher,advertisingdatacode,case,numberitems,gift,entry,points,shippingcosts,deliverydatepromised,deliverydatereal,weight,remi,cancel,used,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,target90
40264,01/04/2008,2,0,6,01/04/2008,1,2,2,0,58,,1,,1,2,0,1,0,1,03/04/2008,02/04/2008,971,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25732,01/04/2008,0,0,12,01/04/2008,0,1,3,0,60,,0,,5,2,0,0,0,0,02/04/2008,01/04/2008,1477,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
54036,01/04/2008,0,0,4,01/04/2008,0,3,3,0,97,97,0,,3,1,0,1,0,1,03/04/2009,16/04/2008,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58046,01/04/2008,0,0,9,01/04/2008,0,3,1,1,76,,0,,5,4,0,1,0,0,02/04/2008,01/04/2008,1168,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0
11914,01/04/2008,0,0,5,01/04/2008,0,3,0,0,92,,0,,3,1,0,1,0,0,02/04/2008,01/04/2008,702,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14169,01/04/2008,0,0,4,01/04/2008,1,3,1,1,48,,0,,4,2,0,1,0,0,03/04/2008,02/04/2008,742,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
17182,01/04/2008,0,0,9,01/04/2008,0,2,2,0,34,,1,,3,2,0,1,0,0,03/04/2008,02/04/2008,677,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
62165,01/04/2008,1,0,12,01/04/2008,0,1,0,0,21,21,0,BT,4,1,0,0,0,0,02/04/2008,02/04/2008,938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
362,01/04/2008,2,0,8,01/04/2008,0,3,0,0,84,,0,,3,1,0,1,0,1,06/04/2009,16/04/2008,554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46209,01/04/2008,2,0,2,01/04/2008,0,3,0,0,18,,0,,3,2,0,1,0,0,06/04/2009,30/05/2008,598,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
